Name,Partei,Ort,Link,ID Politiker,Bezirk,Fraktion,Anzahl Vorstösse
Marclay-Merz Suzanne,FDP,Aarau,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4489667,4489667,Bezirk Aarau,FDP,7
Rotzetter Andre,Die Mitte,Buchs,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=102373,102373,Bezirk Aarau,Die Mitte,5
Dietiker Therese,EVP,Aarau,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=116973,116973,Bezirk Aarau,EVP,4
Hunziker Lelia,SP,Aarau ,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=3954390,3954390,Bezirk Aarau,SP,3
Knuchel Jürg,SP,Aarau,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=102474,102474,Bezirk Aarau,SP,3
Baumann Thomas,Grüne,Suhr,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4887870,4887870,Bezirk Aarau,Grüne,2
Wehrli Daniel,SVP,Küttigen,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=87823,87823,Bezirk Aarau,SVP/EDU,2
Berner Yannick,FDP,Aarau,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4887871,4887871,Bezirk Aarau,FDP,1
Bircher Adrian,GLP,Aarau,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=110298,110298,Bezirk Aarau,GLP,1
Hochreuter Clemens,SVP,Erlinsbach,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=87824,87824,Bezirk Aarau,SVP/EDU,1
Ounde Ignatius,GLP,Gränichen,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4887894,4887894,Bezirk Aarau,GLP,1
Dell'Aquila Silvia,SP,Aarau,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4489736,4489736,Bezirk Aarau,SP,0
Kosch Mirjam,Grüne,Aarau,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4887890,4887890,Bezirk Aarau,Grüne,0
Lüthy Markus,SVP,Erlinsbach,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=102372,102372,Bezirk Aarau,SVP/EDU,0
Pfisterer Lukas,FDP,Aarau,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=102475,102475,Bezirk Aarau,FDP,0
Winzenried Urs,SVP,Aarau,https://www.ag.ch/grossrat/grweb/de/185/Detail%20Adresse?AdrId=4887900,4887900,Bezirk Aarau,SVP/EDU,0
